criterion,feature,app,n_models,models,best_median_rank
Popularity and Market Reach,Build photo collage,Adobe Photoshop Express:Photo Editor,1,mistral,5.0
Popularity and Market Reach,Watch streams,Kuaishou,1,mistral,5.0
Popularity and Market Reach,Write notes,Samsung Notes,1,gemini,5.0
Regional and Geographical Availability,Keeping up with friends,QQ,1,mistral,5.0
Regional and Geographical Availability,Send files,KakaoTalk,1,anthropic,5.0
Regional and Geographical Availability,Watch streams,Kuaishou,1,mistral,5.0
Regular Updates and Maintenance,Go Live,TikTok LIVE,1,mistral,5.0
Security and Privacy,Access to movies,HBO Max,1,anthropic,5.0
Security and Privacy,Broadcast messages to multiple contacts,ProtonMail,1,mistral_open,5.0
Security and Privacy,Collaborate with others,Wickr Me,1,anthropic,5.0
Security and Privacy,Go Live,Webex by Cisco,1,anthropic,5.0
Security and Privacy,Play games,PlayStation App,1,anthropic,5.0
Security and Privacy,Watch streams,Disney+,1,anthropic,5.0
Security and Privacy,Write notes,Laverna,1,anthropic,5.0
Security and Privacy,Write notes,Notable,1,mistral,5.0
User Engagement,Go Live,TikTok LIVE,1,mistral,5.0
User Engagement,Watch streams,Facebook,1,anthropic,5.0
User Interface and Experience,Access to movies,Max,1,qwen3_8b,5.0
User Interface and Experience,Watch streams,Hulu,1,anthropic,5.0
User Ratings,Broadcast messages to multiple contacts,Viber Messenger,1,mistral,5.0
User Ratings,Go Live,InstagramLive,1,mistral_open,5.0
User Ratings,Go Live,TikTok - Live Stream & Watch,1,mistral,5.0
User Ratings,List items for sale,OfferUp - Buy. Sell. Simple.,1,mistral,5.0
User Ratings,Photo effects,Pixelmator Photo,1,gemma3_4b,5.0
User Ratings,Play games,Alto's Odyssey,1,openai,5.0
User Ratings,Watch streams,Vimeo,1,llama31_8b,5.0
