model,cohort,criterion,feature,rbo
qwen3_8b,open,Popularity and Market Reach,Go Live,0.2432620337319559
qwen3_8b,open,Popularity and Market Reach,Play playlist on shuffle mode,0.7563179822809389
qwen3_8b,open,Popularity and Market Reach,Access to podcasts,0.7802083727623951
qwen3_8b,open,Popularity and Market Reach,Build photo collage,0.5520386906902605
qwen3_8b,open,Popularity and Market Reach,Photo effects,0.5603946618159771
qwen3_8b,open,Popularity and Market Reach,Access to movies,0.7696061472367431
qwen3_8b,open,Popularity and Market Reach,Rate movies,0.6400715592457437
qwen3_8b,open,Popularity and Market Reach,Keeping up with friends,0.7482485999328204
qwen3_8b,open,Popularity and Market Reach,Play games,0.6175448366608584
qwen3_8b,open,Popularity and Market Reach,Collaborate with others,0.5725346387422892
qwen3_8b,open,Popularity and Market Reach,Write notes,0.7981845041252033
qwen3_8b,open,Popularity and Market Reach,Search for offer on item,0.45105390524977795
qwen3_8b,open,Popularity and Market Reach,List items for sale,0.624364537808078
qwen3_8b,open,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7356972837024432
qwen3_8b,open,Regional and Geographical Availability,Send files,0.5184613740020132
qwen3_8b,open,Regional and Geographical Availability,Watch streams,0.4194350061946025
qwen3_8b,open,Regional and Geographical Availability,Go Live,0.4139236205231527
qwen3_8b,open,Regional and Geographical Availability,Play playlist on shuffle mode,0.7769346028075863
qwen3_8b,open,Regional and Geographical Availability,Access to podcasts,0.8077605590685143
qwen3_8b,open,Regional and Geographical Availability,Build photo collage,0.48779329124097065
qwen3_8b,open,Regional and Geographical Availability,Photo effects,0.5024720484928793
qwen3_8b,open,Regional and Geographical Availability,Access to movies,0.7575958007161593
qwen3_8b,open,Regional and Geographical Availability,Rate movies,0.5937612363122032
qwen3_8b,open,Regional and Geographical Availability,Keeping up with friends,0.7386881179783559
qwen3_8b,open,Regional and Geographical Availability,Play games,0.6255396049050895
qwen3_8b,open,Regional and Geographical Availability,Collaborate with others,0.5368860463660882
qwen3_8b,open,Regional and Geographical Availability,Write notes,0.7942285773387139
qwen3_8b,open,Regional and Geographical Availability,Search for offer on item,0.4119126520015257
qwen3_8b,open,Regional and Geographical Availability,List items for sale,0.6208559943640164
qwen3_8b,open,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.7217658922698259
qwen3_8b,open,Regular Updates and Maintenance,Send files,0.511513505750204
qwen3_8b,open,Regular Updates and Maintenance,Watch streams,0.5351654130205358
qwen3_8b,open,Regular Updates and Maintenance,Go Live,0.3137695830282663
qwen3_8b,open,Regular Updates and Maintenance,Play playlist on shuffle mode,0.7410955480611822
qwen3_8b,open,Regular Updates and Maintenance,Access to podcasts,0.7538644727922467
qwen3_8b,open,Regular Updates and Maintenance,Build photo collage,0.5354742896655342
qwen3_8b,open,Regular Updates and Maintenance,Photo effects,0.5050272566168948
qwen3_8b,open,Regular Updates and Maintenance,Access to movies,0.7597475820317188
qwen3_8b,open,Regular Updates and Maintenance,Rate movies,0.6338074154341534
qwen3_8b,open,Regular Updates and Maintenance,Keeping up with friends,0.7462428925656499
qwen3_8b,open,Regular Updates and Maintenance,Play games,0.6270387734157479
qwen3_8b,open,Regular Updates and Maintenance,Collaborate with others,0.6072894145854187
qwen3_8b,open,Regular Updates and Maintenance,Write notes,0.7109899108485158
qwen3_8b,open,Regular Updates and Maintenance,Search for offer on item,0.33953802286308665
qwen3_8b,open,Regular Updates and Maintenance,List items for sale,0.649434596453989
qwen3_8b,open,Security and Privacy,Broadcast messages to multiple contacts,0.3524427288885938
qwen3_8b,open,Security and Privacy,Send files,0.17300055353567545
qwen3_8b,open,Security and Privacy,Watch streams,0.41761768582997066
qwen3_8b,open,Security and Privacy,Go Live,0.5465926884742585
qwen3_8b,open,Security and Privacy,Play playlist on shuffle mode,0.41595981717806696
qwen3_8b,open,Security and Privacy,Access to podcasts,0.4951931746856695
qwen3_8b,open,Security and Privacy,Build photo collage,0.3913507789480116
qwen3_8b,open,Security and Privacy,Photo effects,0.4371092304107071
qwen3_8b,open,Security and Privacy,Access to movies,0.7942075328766209
qwen3_8b,open,Security and Privacy,Rate movies,0.526077230673096
qwen3_8b,open,Security and Privacy,Keeping up with friends,0.23007996434742573
qwen3_8b,open,Security and Privacy,Play games,0.07919973746217518
qwen3_8b,open,Security and Privacy,Collaborate with others,0.21891450166870352
qwen3_8b,open,Security and Privacy,Write notes,0.1794919808844752
qwen3_8b,open,Security and Privacy,Search for offer on item,0.41961493712284686
qwen3_8b,open,Security and Privacy,List items for sale,0.678821000041481
qwen3_8b,open,User Engagement,Broadcast messages to multiple contacts,0.7817685325276112
qwen3_8b,open,User Engagement,Send files,0.5638828569155807
qwen3_8b,open,User Engagement,Watch streams,0.5001614680310331
qwen3_8b,open,User Engagement,Go Live,0.5481141298536776
qwen3_8b,open,User Engagement,Play playlist on shuffle mode,0.7729203535193598
qwen3_8b,open,User Engagement,Access to podcasts,0.8138064809063786
qwen3_8b,open,User Engagement,Build photo collage,0.5505789759938532
qwen3_8b,open,User Engagement,Photo effects,0.5422676455863367
qwen3_8b,open,User Engagement,Access to movies,0.7739982246044816
qwen3_8b,open,User Engagement,Rate movies,0.6088124405459371
qwen3_8b,open,User Engagement,Keeping up with friends,0.7513524575016942
qwen3_8b,open,User Engagement,Play games,0.6022788449685804
qwen3_8b,open,User Engagement,Collaborate with others,0.5964443436694481
qwen3_8b,open,User Engagement,Write notes,0.7982784716506249
qwen3_8b,open,User Engagement,Search for offer on item,0.5320442671172296
qwen3_8b,open,User Engagement,List items for sale,0.714349325226409
qwen3_8b,open,User Interface and Experience,Broadcast messages to multiple contacts,0.759772460336264
qwen3_8b,open,User Interface and Experience,Send files,0.592809658280204
qwen3_8b,open,User Interface and Experience,Watch streams,0.526923358876137
qwen3_8b,open,User Interface and Experience,Go Live,0.4701283471631808
qwen3_8b,open,User Interface and Experience,Play playlist on shuffle mode,0.78232023534011
qwen3_8b,open,User Interface and Experience,Access to podcasts,0.8009306710095879
qwen3_8b,open,User Interface and Experience,Build photo collage,0.5148415687660266
qwen3_8b,open,User Interface and Experience,Photo effects,0.5290542172888478
qwen3_8b,open,User Interface and Experience,Access to movies,0.700219530639537
qwen3_8b,open,User Interface and Experience,Rate movies,0.6181265773446125
qwen3_8b,open,User Interface and Experience,Keeping up with friends,0.6769752833131933
qwen3_8b,open,User Interface and Experience,Play games,0.5576680371515768
qwen3_8b,open,User Interface and Experience,Collaborate with others,0.5912618767036663
qwen3_8b,open,User Interface and Experience,Write notes,0.6648201111005853
qwen3_8b,open,User Interface and Experience,Search for offer on item,0.5229138156514055
qwen3_8b,open,User Interface and Experience,List items for sale,0.6593852471976969
qwen3_8b,open,User Ratings,Broadcast messages to multiple contacts,0.7927189122595035
qwen3_8b,open,User Ratings,Send files,0.4941132477175917
qwen3_8b,open,User Ratings,Watch streams,0.507082214738578
qwen3_8b,open,User Ratings,Go Live,0.37885854393261276
qwen3_8b,open,User Ratings,Play playlist on shuffle mode,0.7513231952958946
qwen3_8b,open,User Ratings,Access to podcasts,0.7749799717676825
qwen3_8b,open,User Ratings,Build photo collage,0.5029082337921995
qwen3_8b,open,User Ratings,Photo effects,0.5415673397575959
qwen3_8b,open,User Ratings,Access to movies,0.7581423288619925
qwen3_8b,open,User Ratings,Rate movies,0.627254814421757
qwen3_8b,open,User Ratings,Keeping up with friends,0.7127863019126437
qwen3_8b,open,User Ratings,Play games,0.5413691496158304
qwen3_8b,open,User Ratings,Collaborate with others,0.5772673860354566
qwen3_8b,open,User Ratings,Write notes,0.776470180105176
qwen3_8b,open,User Ratings,Search for offer on item,0.5283899495080424
qwen3_8b,open,User Ratings,List items for sale,0.6567078408648871
gptoss20b,open,Accessibility Features,Broadcast messages to multiple contacts,0.6533900610056912
gptoss20b,open,Accessibility Features,Send files,0.3519459499362052
gptoss20b,open,Accessibility Features,Watch streams,0.580363084279379
gptoss20b,open,Accessibility Features,Go Live,0.41925963045245945
gptoss20b,open,Accessibility Features,Play playlist on shuffle mode,0.8266863843463728
gptoss20b,open,Accessibility Features,Access to podcasts,0.8277375248952762
gptoss20b,open,Accessibility Features,Build photo collage,0.4396880159777652
gptoss20b,open,Accessibility Features,Photo effects,0.3791118576455163
gptoss20b,open,Accessibility Features,Access to movies,0.8699988536255089
gptoss20b,open,Accessibility Features,Rate movies,0.7249256838184353
gptoss20b,open,Accessibility Features,Keeping up with friends,0.5549653461318287
gptoss20b,open,Accessibility Features,Play games,0.0661007845406348
gptoss20b,open,Accessibility Features,Collaborate with others,0.5680203104801735
gptoss20b,open,Accessibility Features,Write notes,0.7022368188517649
gptoss20b,open,Accessibility Features,Search for offer on item,0.3654167731073345
gptoss20b,open,Accessibility Features,List items for sale,0.5006872292242615
gptoss20b,open,Cost and Pricing,Broadcast messages to multiple contacts,0.6438041480836155
gptoss20b,open,Cost and Pricing,Send files,0.3439788620474905
gptoss20b,open,Cost and Pricing,Watch streams,0.3021166933769665
gptoss20b,open,Cost and Pricing,Go Live,0.35942179060696733
gptoss20b,open,Cost and Pricing,Play playlist on shuffle mode,0.6095634848569069
gptoss20b,open,Cost and Pricing,Access to podcasts,0.7084433279433096
gptoss20b,open,Cost and Pricing,Build photo collage,0.513595595675794
gptoss20b,open,Cost and Pricing,Photo effects,0.46770103309051697
gptoss20b,open,Cost and Pricing,Access to movies,0.30323753772284556
gptoss20b,open,Cost and Pricing,Rate movies,0.6662085067566843
gptoss20b,open,Cost and Pricing,Keeping up with friends,0.5656314553949082
gptoss20b,open,Cost and Pricing,Play games,0.2274690923673888
gptoss20b,open,Cost and Pricing,Collaborate with others,0.5811742017103243
gptoss20b,open,Cost and Pricing,Write notes,0.5388522661083099
gptoss20b,open,Cost and Pricing,Search for offer on item,0.38955685362973613
gptoss20b,open,Cost and Pricing,List items for sale,0.4346973693027064
gptoss20b,open,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.5910578426634797
gptoss20b,open,Cross-Platform Synchronization,Send files,0.22458972364604438
gptoss20b,open,Cross-Platform Synchronization,Watch streams,0.5137365351727978
gptoss20b,open,Cross-Platform Synchronization,Go Live,0.3531730441329335
gptoss20b,open,Cross-Platform Synchronization,Play playlist on shuffle mode,0.8178754840918347
gptoss20b,open,Cross-Platform Synchronization,Access to podcasts,0.7876656794871255
gptoss20b,open,Cross-Platform Synchronization,Build photo collage,0.4761599954408063
gptoss20b,open,Cross-Platform Synchronization,Photo effects,0.30927457788108365
gptoss20b,open,Cross-Platform Synchronization,Access to movies,0.8525048504434212
gptoss20b,open,Cross-Platform Synchronization,Rate movies,0.4665146742676318
gptoss20b,open,Cross-Platform Synchronization,Keeping up with friends,0.5894629369843188
gptoss20b,open,Cross-Platform Synchronization,Play games,0.22504708472481103
gptoss20b,open,Cross-Platform Synchronization,Collaborate with others,0.41095707870270526
gptoss20b,open,Cross-Platform Synchronization,Write notes,0.7211239824561324
gptoss20b,open,Cross-Platform Synchronization,Search for offer on item,0.4123399429559638
gptoss20b,open,Cross-Platform Synchronization,List items for sale,0.637738852696212
gptoss20b,open,Customer Support,Broadcast messages to multiple contacts,0.591177878615901
gptoss20b,open,Customer Support,Send files,0.165512830260611
gptoss20b,open,Customer Support,Watch streams,0.480316017910295
gptoss20b,open,Customer Support,Go Live,0.3667412701873878
gptoss20b,open,Customer Support,Play playlist on shuffle mode,0.7272450650082085
gptoss20b,open,Customer Support,Access to podcasts,0.783657140188375
gptoss20b,open,Customer Support,Build photo collage,0.4092555706166786
gptoss20b,open,Customer Support,Photo effects,0.40713747158844293
gptoss20b,open,Customer Support,Access to movies,0.8645634821959269
gptoss20b,open,Customer Support,Rate movies,0.5848890784274405
gptoss20b,open,Customer Support,Keeping up with friends,0.4264287053816027
gptoss20b,open,Customer Support,Play games,0.18814581719925833
gptoss20b,open,Customer Support,Collaborate with others,0.602544256065178
gptoss20b,open,Customer Support,Write notes,0.6680090424826584
gptoss20b,open,Customer Support,Search for offer on item,0.4041007571039033
gptoss20b,open,Customer Support,List items for sale,0.47533953100840654
gptoss20b,open,Customization Options,Broadcast messages to multiple contacts,0.49198766569604546
gptoss20b,open,Customization Options,Send files,0.35770909813346935
gptoss20b,open,Customization Options,Watch streams,0.2785632456310381
gptoss20b,open,Customization Options,Go Live,0.24852979984847934
gptoss20b,open,Customization Options,Play playlist on shuffle mode,0.6411946443304798
gptoss20b,open,Customization Options,Access to podcasts,0.5514188778555347
gptoss20b,open,Customization Options,Build photo collage,0.41578462029213115
gptoss20b,open,Customization Options,Photo effects,0.4242018953623539
gptoss20b,open,Customization Options,Access to movies,0.5837772652803624
gptoss20b,open,Customization Options,Rate movies,0.6162618942050995
gptoss20b,open,Customization Options,Keeping up with friends,0.40712922440829724
gptoss20b,open,Customization Options,Play games,0.12125810512737961
gptoss20b,open,Customization Options,Collaborate with others,0.540321176795935
gptoss20b,open,Customization Options,Write notes,0.5248644439736939
gptoss20b,open,Customization Options,Search for offer on item,0.39130255189363533
gptoss20b,open,Customization Options,List items for sale,0.32017461422130367
gptoss20b,open,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.6574467664311504
gptoss20b,open,Feature Breadth and Richness,Send files,0.3261841183042846
gptoss20b,open,Feature Breadth and Richness,Watch streams,0.5715257975843921
gptoss20b,open,Feature Breadth and Richness,Go Live,0.39904289050664177
gptoss20b,open,Feature Breadth and Richness,Play playlist on shuffle mode,0.8133009984788431
gptoss20b,open,Feature Breadth and Richness,Access to podcasts,0.8506788435304289
gptoss20b,open,Feature Breadth and Richness,Build photo collage,0.45226034956732714
gptoss20b,open,Feature Breadth and Richness,Photo effects,0.4464456897009169
gptoss20b,open,Feature Breadth and Richness,Access to movies,0.8714238371005883
gptoss20b,open,Feature Breadth and Richness,Rate movies,0.7317507427061086
gptoss20b,open,Feature Breadth and Richness,Keeping up with friends,0.6464656943050546
gptoss20b,open,Feature Breadth and Richness,Play games,0.20121012479348216
gptoss20b,open,Feature Breadth and Richness,Collaborate with others,0.6191338968148631
gptoss20b,open,Feature Breadth and Richness,Write notes,0.70580079244572
gptoss20b,open,Feature Breadth and Richness,Search for offer on item,0.40564880827563776
gptoss20b,open,Feature Breadth and Richness,List items for sale,0.6060738538798638
gptoss20b,open,Integration with Other Services,Broadcast messages to multiple contacts,0.48090727890039825
gptoss20b,open,Integration with Other Services,Send files,0.29225263046454064
gptoss20b,open,Integration with Other Services,Watch streams,0.5430845471781649
gptoss20b,open,Integration with Other Services,Go Live,0.40144665504131544
gptoss20b,open,Integration with Other Services,Play playlist on shuffle mode,0.8710319662728355
gptoss20b,open,Integration with Other Services,Access to podcasts,0.8530150823546621
gptoss20b,open,Integration with Other Services,Build photo collage,0.4577469411964479
gptoss20b,open,Integration with Other Services,Photo effects,0.4715372212345543
gptoss20b,open,Integration with Other Services,Access to movies,0.8496050011556037
gptoss20b,open,Integration with Other Services,Rate movies,0.6396512260734063
gptoss20b,open,Integration with Other Services,Keeping up with friends,0.5701732502824935
gptoss20b,open,Integration with Other Services,Play games,0.21663010338182973
gptoss20b,open,Integration with Other Services,Collaborate with others,0.6360532738531925
gptoss20b,open,Integration with Other Services,Write notes,0.8320426117452681
gptoss20b,open,Integration with Other Services,Search for offer on item,0.4219102170219712
gptoss20b,open,Integration with Other Services,List items for sale,0.619886108459584
gptoss20b,open,Performance and Stability,Broadcast messages to multiple contacts,0.6401073037114919
gptoss20b,open,Performance and Stability,Send files,0.2733784749181159
gptoss20b,open,Performance and Stability,Watch streams,0.546057463846842
gptoss20b,open,Performance and Stability,Go Live,0.41688054663455204
gptoss20b,open,Performance and Stability,Play playlist on shuffle mode,0.854356590261756
gptoss20b,open,Performance and Stability,Access to podcasts,0.825012814162239
gptoss20b,open,Performance and Stability,Build photo collage,0.41090317854605546
gptoss20b,open,Performance and Stability,Photo effects,0.493642880485153
gptoss20b,open,Performance and Stability,Access to movies,0.878026529494954
gptoss20b,open,Performance and Stability,Rate movies,0.6706968042973266
gptoss20b,open,Performance and Stability,Keeping up with friends,0.513643386684448
gptoss20b,open,Performance and Stability,Play games,0.27012597036202945
gptoss20b,open,Performance and Stability,Collaborate with others,0.6216694213579977
gptoss20b,open,Performance and Stability,Write notes,0.602878764053162
gptoss20b,open,Performance and Stability,Search for offer on item,0.39028167047115275
gptoss20b,open,Performance and Stability,List items for sale,0.6115062581941488
gptoss20b,open,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7036779622441968
gptoss20b,open,Platform and Device Compatibility,Send files,0.2802187695761551
gptoss20b,open,Platform and Device Compatibility,Watch streams,0.5970059849552432
gptoss20b,open,Platform and Device Compatibility,Go Live,0.36089114052189314
gptoss20b,open,Platform and Device Compatibility,Play playlist on shuffle mode,0.8568379721377235
gptoss20b,open,Platform and Device Compatibility,Access to podcasts,0.6952184974817083
gptoss20b,open,Platform and Device Compatibility,Build photo collage,0.42889992588070064
gptoss20b,open,Platform and Device Compatibility,Photo effects,0.30207008779177225
gptoss20b,open,Platform and Device Compatibility,Access to movies,0.847204659894642
gptoss20b,open,Platform and Device Compatibility,Rate movies,0.7167390025531951
gptoss20b,open,Platform and Device Compatibility,Keeping up with friends,0.5856873472420097
gptoss20b,open,Platform and Device Compatibility,Play games,0.2326315886746856
gptoss20b,open,Platform and Device Compatibility,Collaborate with others,0.5888756429032207
gptoss20b,open,Platform and Device Compatibility,Write notes,0.6662279118680867
gptoss20b,open,Platform and Device Compatibility,Search for offer on item,0.39947438670139007
gptoss20b,open,Platform and Device Compatibility,List items for sale,0.5878831528712459
gptoss20b,open,Popularity and Market Reach,Broadcast messages to multiple contacts,0.6610338285808136
gptoss20b,open,Popularity and Market Reach,Send files,0.41948252574705613
gptoss20b,open,Popularity and Market Reach,Watch streams,0.5473385437747655
gptoss20b,open,Popularity and Market Reach,Go Live,0.44766500174757745
gptoss20b,open,Popularity and Market Reach,Play playlist on shuffle mode,0.8632205617911286
gptoss20b,open,Popularity and Market Reach,Access to podcasts,0.8169931129991386
gptoss20b,open,Popularity and Market Reach,Build photo collage,0.2850026879529564
gptoss20b,open,Popularity and Market Reach,Photo effects,0.3864695244296545
gptoss20b,open,Popularity and Market Reach,Access to movies,0.8610216171955265
gptoss20b,open,Popularity and Market Reach,Rate movies,0.6965091627749372
gptoss20b,open,Popularity and Market Reach,Keeping up with friends,0.6432166318426461
gptoss20b,open,Popularity and Market Reach,Play games,0.28402801194184285
gptoss20b,open,Popularity and Market Reach,Collaborate with others,0.5537091869923786
gptoss20b,open,Popularity and Market Reach,Write notes,0.8012127691368591
gptoss20b,open,Popularity and Market Reach,Search for offer on item,0.3998313728153909
gptoss20b,open,Popularity and Market Reach,List items for sale,0.5917981308593884
gptoss20b,open,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7126417487498697
gptoss20b,open,Regional and Geographical Availability,Send files,0.4110582876814794
gptoss20b,open,Regional and Geographical Availability,Watch streams,0.4522936184689
gptoss20b,open,Regional and Geographical Availability,Go Live,0.40938696956234255
gptoss20b,open,Regional and Geographical Availability,Play playlist on shuffle mode,0.8644015203033351
gptoss20b,open,Regional and Geographical Availability,Access to podcasts,0.7983876053534646
gptoss20b,open,Regional and Geographical Availability,Build photo collage,0.46416792679499247
gptoss20b,open,Regional and Geographical Availability,Photo effects,0.3822769255091653
gptoss20b,open,Regional and Geographical Availability,Access to movies,0.8069018233491323
gptoss20b,open,Regional and Geographical Availability,Rate movies,0.6777766271445809
gptoss20b,open,Regional and Geographical Availability,Keeping up with friends,0.6214580774039502
gptoss20b,open,Regional and Geographical Availability,Play games,0.23891643161050982
gptoss20b,open,Regional and Geographical Availability,Collaborate with others,0.5757453249777297
gptoss20b,open,Regional and Geographical Availability,Write notes,0.7872922172699631
gptoss20b,open,Regional and Geographical Availability,Search for offer on item,0.3849759628208168
gptoss20b,open,Regional and Geographical Availability,List items for sale,0.5206929142261059
gptoss20b,open,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.591135780245533
gptoss20b,open,Regular Updates and Maintenance,Send files,0.3938843257338688
gptoss20b,open,Regular Updates and Maintenance,Watch streams,0.5816133628904272
gptoss20b,open,Regular Updates and Maintenance,Go Live,0.4252724963307843
gptoss20b,open,Regular Updates and Maintenance,Play playlist on shuffle mode,0.8712549295247402
gptoss20b,open,Regular Updates and Maintenance,Access to podcasts,0.7767929325914398
gptoss20b,open,Regular Updates and Maintenance,Build photo collage,0.44031847447047034
gptoss20b,open,Regular Updates and Maintenance,Photo effects,0.47607670409116304
gptoss20b,open,Regular Updates and Maintenance,Access to movies,0.871058669019596
gptoss20b,open,Regular Updates and Maintenance,Rate movies,0.647512153578804
gptoss20b,open,Regular Updates and Maintenance,Keeping up with friends,0.557304961029393
gptoss20b,open,Regular Updates and Maintenance,Play games,0.23942354036756694
gptoss20b,open,Regular Updates and Maintenance,Collaborate with others,0.5580354533810418
gptoss20b,open,Regular Updates and Maintenance,Write notes,0.7341123210919102
gptoss20b,open,Regular Updates and Maintenance,Search for offer on item,0.3969348714354625
gptoss20b,open,Regular Updates and Maintenance,List items for sale,0.6405571591686955
gptoss20b,open,Security and Privacy,Broadcast messages to multiple contacts,0.37824589185797924
gptoss20b,open,Security and Privacy,Send files,0.169547583405134
gptoss20b,open,Security and Privacy,Watch streams,0.4400399930537358
gptoss20b,open,Security and Privacy,Go Live,0.12231992558305978
gptoss20b,open,Security and Privacy,Play playlist on shuffle mode,0.4373757186556086
gptoss20b,open,Security and Privacy,Access to podcasts,0.5469619490746761
gptoss20b,open,Security and Privacy,Build photo collage,0.2726050070753818
gptoss20b,open,Security and Privacy,Photo effects,0.35001811810847755
gptoss20b,open,Security and Privacy,Access to movies,0.790985695958736
gptoss20b,open,Security and Privacy,Rate movies,0.575707914578667
gptoss20b,open,Security and Privacy,Keeping up with friends,0.187500525253106
gptoss20b,open,Security and Privacy,Play games,0.09666244899782493
gptoss20b,open,Security and Privacy,Collaborate with others,0.25098262524890175
gptoss20b,open,Security and Privacy,Write notes,0.30368336923511063
gptoss20b,open,Security and Privacy,Search for offer on item,0.3876108978434845
gptoss20b,open,Security and Privacy,List items for sale,0.5836120841864534
gptoss20b,open,User Engagement,Broadcast messages to multiple contacts,0.7041352389191435
gptoss20b,open,User Engagement,Send files,0.4137664114496426
gptoss20b,open,User Engagement,Watch streams,0.4649711155564894
gptoss20b,open,User Engagement,Go Live,0.41758504658741585
gptoss20b,open,User Engagement,Play playlist on shuffle mode,0.8558026078785592
gptoss20b,open,User Engagement,Access to podcasts,0.7846889712566663
gptoss20b,open,User Engagement,Build photo collage,0.5535438780250641
gptoss20b,open,User Engagement,Photo effects,0.373185776150025
gptoss20b,open,User Engagement,Access to movies,0.868525330093035
gptoss20b,open,User Engagement,Rate movies,0.7306939400334015
gptoss20b,open,User Engagement,Keeping up with friends,0.6402912618835586
gptoss20b,open,User Engagement,Play games,0.26359828524772355
gptoss20b,open,User Engagement,Collaborate with others,0.6794886960448978
gptoss20b,open,User Engagement,Write notes,0.7931676055975386
gptoss20b,open,User Engagement,Search for offer on item,0.3265326646854799
gptoss20b,open,User Engagement,List items for sale,0.6717385418492647
gptoss20b,open,User Interface and Experience,Broadcast messages to multiple contacts,0.7141433204364513
gptoss20b,open,User Interface and Experience,Send files,0.3495376888533964
gptoss20b,open,User Interface and Experience,Watch streams,0.4946709071533749
gptoss20b,open,User Interface and Experience,Go Live,0.4315309692384006
gptoss20b,open,User Interface and Experience,Play playlist on shuffle mode,0.8231282424576101
gptoss20b,open,User Interface and Experience,Access to podcasts,0.8229260540169969
gptoss20b,open,User Interface and Experience,Build photo collage,0.5265051214202827
gptoss20b,open,User Interface and Experience,Photo effects,0.47691843798385525
gptoss20b,open,User Interface and Experience,Access to movies,0.8105129775890176
gptoss20b,open,User Interface and Experience,Rate movies,0.7034146884380321
gptoss20b,open,User Interface and Experience,Keeping up with friends,0.6272872378284748
gptoss20b,open,User Interface and Experience,Play games,0.23680237762533696
gptoss20b,open,User Interface and Experience,Collaborate with others,0.5694048940534416
gptoss20b,open,User Interface and Experience,Write notes,0.6366490474465744
gptoss20b,open,User Interface and Experience,Search for offer on item,0.3971739185903398
gptoss20b,open,User Interface and Experience,List items for sale,0.6557052561557426
gptoss20b,open,User Ratings,Broadcast messages to multiple contacts,0.5734490142428608
gptoss20b,open,User Ratings,Send files,0.26155993582057774
gptoss20b,open,User Ratings,Watch streams,0.4269394169249353
gptoss20b,open,User Ratings,Go Live,0.31312421643445076
gptoss20b,open,User Ratings,Play playlist on shuffle mode,0.7376448633298832
gptoss20b,open,User Ratings,Access to podcasts,0.649807821667018
gptoss20b,open,User Ratings,Build photo collage,0.5396909530803252
gptoss20b,open,User Ratings,Photo effects,0.411460993268882
gptoss20b,open,User Ratings,Access to movies,0.8440887919817145
gptoss20b,open,User Ratings,Rate movies,0.6156234235958322
gptoss20b,open,User Ratings,Keeping up with friends,0.47666239792423776
gptoss20b,open,User Ratings,Play games,0.20619173842270155
gptoss20b,open,User Ratings,Collaborate with others,0.48805648490039677
gptoss20b,open,User Ratings,Write notes,0.5345490806991582
gptoss20b,open,User Ratings,Search for offer on item,0.4127302326021718
gptoss20b,open,User Ratings,List items for sale,0.5274950567635532
mistral_open,open,Accessibility Features,Broadcast messages to multiple contacts,0.6266606489150928
mistral_open,open,Accessibility Features,Watch streams,0.8822595659312584
mistral_open,open,Accessibility Features,Go Live,0.16355475951625328
mistral_open,open,Accessibility Features,Play playlist on shuffle mode,0.8850488701752909
mistral_open,open,Accessibility Features,Access to podcasts,0.6577830457075962
mistral_open,open,Accessibility Features,Build photo collage,0.31745616937373544
mistral_open,open,Accessibility Features,Photo effects,0.34812259110422783
mistral_open,open,Accessibility Features,Rate movies,0.7785658935600158
mistral_open,open,Accessibility Features,Keeping up with friends,0.7466226095033339
mistral_open,open,Accessibility Features,Play games,0.22407134128486533
mistral_open,open,Accessibility Features,Collaborate with others,0.6866811291863152
mistral_open,open,Accessibility Features,Write notes,0.7461760875229443
mistral_open,open,Accessibility Features,Search for offer on item,0.7884475005602174
mistral_open,open,Cost and Pricing,Broadcast messages to multiple contacts,0.3638663371481501
mistral_open,open,Cost and Pricing,Watch streams,0.9188201387487811
mistral_open,open,Cost and Pricing,Go Live,0.363416995571177
mistral_open,open,Cost and Pricing,Play playlist on shuffle mode,0.8679473847178756
mistral_open,open,Cost and Pricing,Access to podcasts,0.8423264993975277
mistral_open,open,Cost and Pricing,Build photo collage,0.31043007664051747
mistral_open,open,Cost and Pricing,Photo effects,0.4172641828098341
mistral_open,open,Cost and Pricing,Rate movies,0.7675965750464407
mistral_open,open,Cost and Pricing,Keeping up with friends,0.7448328387967662
mistral_open,open,Cost and Pricing,Play games,0.47092720238345465
mistral_open,open,Cost and Pricing,Collaborate with others,0.6914778902607417
mistral_open,open,Cost and Pricing,Write notes,0.8045203520345686
mistral_open,open,Cost and Pricing,Search for offer on item,0.9353710107483721
mistral_open,open,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.5967264045380175
mistral_open,open,Cross-Platform Synchronization,Watch streams,0.8876633116502829
mistral_open,open,Cross-Platform Synchronization,Go Live,0.0648132473091155
mistral_open,open,Cross-Platform Synchronization,Play playlist on shuffle mode,0.8342695359911918
mistral_open,open,Cross-Platform Synchronization,Access to podcasts,0.48218699302276075
mistral_open,open,Cross-Platform Synchronization,Build photo collage,0.28718071868368256
mistral_open,open,Cross-Platform Synchronization,Photo effects,0.4402384186598162
mistral_open,open,Cross-Platform Synchronization,Rate movies,0.765594380732686
mistral_open,open,Cross-Platform Synchronization,Keeping up with friends,0.6997011545834141
mistral_open,open,Cross-Platform Synchronization,Play games,0.5675285704165101
mistral_open,open,Cross-Platform Synchronization,Collaborate with others,0.5087894245721017
mistral_open,open,Cross-Platform Synchronization,Write notes,0.8096138336871227
