model,criterion,feature,rbo
qwen3_8b,Performance and Stability,List items for sale,0.8256893755895243
qwen3_8b,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.8534980191973609
qwen3_8b,Platform and Device Compatibility,Send files,0.6496307551922982
qwen3_8b,Platform and Device Compatibility,Watch streams,0.7005576394572862
qwen3_8b,Platform and Device Compatibility,Go Live,0.4345488038987925
qwen3_8b,Platform and Device Compatibility,Play playlist on shuffle mode,0.7376036878464837
qwen3_8b,Platform and Device Compatibility,Access to podcasts,0.7726424810553879
qwen3_8b,Platform and Device Compatibility,Build photo collage,0.6126584096797801
qwen3_8b,Platform and Device Compatibility,Photo effects,0.5867292387804803
qwen3_8b,Platform and Device Compatibility,Access to movies,0.7544307013234883
qwen3_8b,Platform and Device Compatibility,Rate movies,0.6569338908735949
qwen3_8b,Platform and Device Compatibility,Keeping up with friends,0.7362340221591449
qwen3_8b,Platform and Device Compatibility,Play games,0.7713187698341135
qwen3_8b,Platform and Device Compatibility,Collaborate with others,0.5746861267023808
qwen3_8b,Platform and Device Compatibility,Write notes,0.7873663251612695
qwen3_8b,Platform and Device Compatibility,Search for offer on item,0.39813268069296154
qwen3_8b,Platform and Device Compatibility,List items for sale,0.70193774599165
qwen3_8b,Popularity and Market Reach,Broadcast messages to multiple contacts,0.8087772105408402
qwen3_8b,Popularity and Market Reach,Send files,0.6697458296507494
qwen3_8b,Popularity and Market Reach,Watch streams,0.48981767793774356
qwen3_8b,Popularity and Market Reach,Go Live,0.7921225795642366
qwen3_8b,Popularity and Market Reach,Play playlist on shuffle mode,0.830588100809947
qwen3_8b,Popularity and Market Reach,Access to podcasts,0.7644809633178945
qwen3_8b,Popularity and Market Reach,Build photo collage,0.6495491365860249
qwen3_8b,Popularity and Market Reach,Photo effects,0.7411947026703098
qwen3_8b,Popularity and Market Reach,Access to movies,0.7845734326102305
qwen3_8b,Popularity and Market Reach,Rate movies,0.7168754403100234
qwen3_8b,Popularity and Market Reach,Keeping up with friends,0.8694560601453645
qwen3_8b,Popularity and Market Reach,Play games,0.6340609264883047
qwen3_8b,Popularity and Market Reach,Collaborate with others,0.8103409929083588
qwen3_8b,Popularity and Market Reach,Write notes,0.8236995538817116
qwen3_8b,Popularity and Market Reach,Search for offer on item,0.401140226641871
qwen3_8b,Popularity and Market Reach,List items for sale,0.64466955035402
qwen3_8b,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7994593736049203
qwen3_8b,Regional and Geographical Availability,Send files,0.6323029838733665
qwen3_8b,Regional and Geographical Availability,Watch streams,0.5618151887919267
qwen3_8b,Regional and Geographical Availability,Go Live,0.3816690725962232
qwen3_8b,Regional and Geographical Availability,Play playlist on shuffle mode,0.8416036464974151
qwen3_8b,Regional and Geographical Availability,Access to podcasts,0.8152747971851811
qwen3_8b,Regional and Geographical Availability,Build photo collage,0.5518353680536037
qwen3_8b,Regional and Geographical Availability,Photo effects,0.5502037046371728
qwen3_8b,Regional and Geographical Availability,Access to movies,0.8127188501211691
qwen3_8b,Regional and Geographical Availability,Rate movies,0.6851337991243649
qwen3_8b,Regional and Geographical Availability,Keeping up with friends,0.7918163566725231
qwen3_8b,Regional and Geographical Availability,Play games,0.7526453942093351
qwen3_8b,Regional and Geographical Availability,Collaborate with others,0.6875897952594621
qwen3_8b,Regional and Geographical Availability,Write notes,0.8212013092502258
qwen3_8b,Regional and Geographical Availability,Search for offer on item,0.4696693664348769
qwen3_8b,Regional and Geographical Availability,List items for sale,0.6863382852624654
qwen3_8b,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.6861679449413708
qwen3_8b,Regular Updates and Maintenance,Send files,0.5231690084626656
qwen3_8b,Regular Updates and Maintenance,Watch streams,0.5182660284076606
qwen3_8b,Regular Updates and Maintenance,Go Live,0.4227860132371098
qwen3_8b,Regular Updates and Maintenance,Play playlist on shuffle mode,0.78254645586461
qwen3_8b,Regular Updates and Maintenance,Access to podcasts,0.7541532037671169
qwen3_8b,Regular Updates and Maintenance,Build photo collage,0.5995247430697781
qwen3_8b,Regular Updates and Maintenance,Photo effects,0.5966525787388871
qwen3_8b,Regular Updates and Maintenance,Access to movies,0.7490583218310284
qwen3_8b,Regular Updates and Maintenance,Rate movies,0.6659849415001078
qwen3_8b,Regular Updates and Maintenance,Keeping up with friends,0.7424693604000148
qwen3_8b,Regular Updates and Maintenance,Play games,0.6502773186532338
qwen3_8b,Regular Updates and Maintenance,Collaborate with others,0.6987234126206037
qwen3_8b,Regular Updates and Maintenance,Write notes,0.7234900730212497
qwen3_8b,Regular Updates and Maintenance,Search for offer on item,0.22189949927987626
qwen3_8b,Regular Updates and Maintenance,List items for sale,0.6551727154867506
qwen3_8b,Security and Privacy,Broadcast messages to multiple contacts,0.5766532818208162
qwen3_8b,Security and Privacy,Send files,0.5671265640425315
qwen3_8b,Security and Privacy,Watch streams,0.476636083606962
qwen3_8b,Security and Privacy,Go Live,0.6192146369330765
qwen3_8b,Security and Privacy,Play playlist on shuffle mode,0.2112415742320016
qwen3_8b,Security and Privacy,Access to podcasts,0.4764680557967269
qwen3_8b,Security and Privacy,Build photo collage,0.2871513218630686
qwen3_8b,Security and Privacy,Photo effects,0.4642338966078349
qwen3_8b,Security and Privacy,Access to movies,0.8297992819699008
qwen3_8b,Security and Privacy,Rate movies,0.58786270637353
qwen3_8b,Security and Privacy,Keeping up with friends,0.5320479660219736
qwen3_8b,Security and Privacy,Play games,0.5843993866956297
qwen3_8b,Security and Privacy,Collaborate with others,0.332801627127484
qwen3_8b,Security and Privacy,Write notes,0.5888871659603787
qwen3_8b,Security and Privacy,Search for offer on item,0.30755758316152393
qwen3_8b,Security and Privacy,List items for sale,0.6889257461669229
qwen3_8b,User Engagement,Broadcast messages to multiple contacts,0.824040621634599
qwen3_8b,User Engagement,Send files,0.5964572588814452
qwen3_8b,User Engagement,Watch streams,0.4836974792433071
qwen3_8b,User Engagement,Go Live,0.4401908062999122
qwen3_8b,User Engagement,Play playlist on shuffle mode,0.8290319672916446
qwen3_8b,User Engagement,Access to podcasts,0.8104770548957309
qwen3_8b,User Engagement,Build photo collage,0.6687496606017285
qwen3_8b,User Engagement,Photo effects,0.5466053514176712
qwen3_8b,User Engagement,Access to movies,0.7817123210539404
qwen3_8b,User Engagement,Rate movies,0.6634229126068388
qwen3_8b,User Engagement,Keeping up with friends,0.8548596881612035
qwen3_8b,User Engagement,Play games,0.8068166033501905
qwen3_8b,User Engagement,Collaborate with others,0.7046831227061927
qwen3_8b,User Engagement,Write notes,0.8141892311053303
qwen3_8b,User Engagement,Search for offer on item,0.6138640107245258
qwen3_8b,User Engagement,List items for sale,0.7845191153341282
qwen3_8b,User Interface and Experience,Broadcast messages to multiple contacts,0.7500427769753526
qwen3_8b,User Interface and Experience,Send files,0.6164238460391586
qwen3_8b,User Interface and Experience,Watch streams,0.6100952355940429
qwen3_8b,User Interface and Experience,Go Live,0.3451639785102384
qwen3_8b,User Interface and Experience,Play playlist on shuffle mode,0.8115060002040261
qwen3_8b,User Interface and Experience,Access to podcasts,0.7916674035827072
qwen3_8b,User Interface and Experience,Build photo collage,0.5181651536642683
qwen3_8b,User Interface and Experience,Photo effects,0.48370172010184354
qwen3_8b,User Interface and Experience,Access to movies,0.6903123532702254
qwen3_8b,User Interface and Experience,Rate movies,0.6383344588915413
qwen3_8b,User Interface and Experience,Keeping up with friends,0.6674019496947591
qwen3_8b,User Interface and Experience,Play games,0.5694376845130769
qwen3_8b,User Interface and Experience,Collaborate with others,0.7775222630204677
qwen3_8b,User Interface and Experience,Write notes,0.6027214769897775
qwen3_8b,User Interface and Experience,Search for offer on item,0.45465242986231075
qwen3_8b,User Interface and Experience,List items for sale,0.666049680687207
qwen3_8b,User Ratings,Broadcast messages to multiple contacts,0.854756830432083
qwen3_8b,User Ratings,Send files,0.49523493112261924
qwen3_8b,User Ratings,Watch streams,0.48617737828220714
qwen3_8b,User Ratings,Go Live,0.4257459449845521
qwen3_8b,User Ratings,Play playlist on shuffle mode,0.8093246193975489
qwen3_8b,User Ratings,Access to podcasts,0.7826770004618009
qwen3_8b,User Ratings,Build photo collage,0.5154150467458518
qwen3_8b,User Ratings,Photo effects,0.5461480588135381
qwen3_8b,User Ratings,Access to movies,0.7434091567192518
qwen3_8b,User Ratings,Rate movies,0.653031307166511
qwen3_8b,User Ratings,Keeping up with friends,0.7327154707164523
qwen3_8b,User Ratings,Play games,0.5257826768971541
qwen3_8b,User Ratings,Collaborate with others,0.6160511352136083
qwen3_8b,User Ratings,Write notes,0.76195510147885
qwen3_8b,User Ratings,Search for offer on item,0.5178714193609693
qwen3_8b,User Ratings,List items for sale,0.6771515843374266
gptoss20b,Accessibility Features,Broadcast messages to multiple contacts,0.65265695991597
gptoss20b,Accessibility Features,Send files,0.40711330767168663
gptoss20b,Accessibility Features,Watch streams,0.7226610945257559
gptoss20b,Accessibility Features,Go Live,0.45399471878673336
gptoss20b,Accessibility Features,Play playlist on shuffle mode,0.8106418359765192
gptoss20b,Accessibility Features,Access to podcasts,0.8178915612106354
gptoss20b,Accessibility Features,Build photo collage,0.4279074738470727
gptoss20b,Accessibility Features,Photo effects,0.43546121757292866
gptoss20b,Accessibility Features,Access to movies,0.8702236547014032
gptoss20b,Accessibility Features,Rate movies,0.7511505484138234
gptoss20b,Accessibility Features,Keeping up with friends,0.6091302409188499
gptoss20b,Accessibility Features,Play games,0.40168040163510954
gptoss20b,Accessibility Features,Collaborate with others,0.5208813588940039
gptoss20b,Accessibility Features,Write notes,0.8272984591158
gptoss20b,Accessibility Features,Search for offer on item,0.48161722158278375
gptoss20b,Accessibility Features,List items for sale,0.6088512457035464
gptoss20b,Cost and Pricing,Broadcast messages to multiple contacts,0.6073025881390067
gptoss20b,Cost and Pricing,Send files,0.21887520307022862
gptoss20b,Cost and Pricing,Watch streams,0.17366848151857656
gptoss20b,Cost and Pricing,Go Live,0.35741799237389843
gptoss20b,Cost and Pricing,Play playlist on shuffle mode,0.6355346603834602
gptoss20b,Cost and Pricing,Access to podcasts,0.6283403133336682
gptoss20b,Cost and Pricing,Build photo collage,0.5364566507822675
gptoss20b,Cost and Pricing,Photo effects,0.6085772841890174
gptoss20b,Cost and Pricing,Access to movies,0.44208911397161366
gptoss20b,Cost and Pricing,Rate movies,0.6833771955854021
gptoss20b,Cost and Pricing,Keeping up with friends,0.6963262761592584
gptoss20b,Cost and Pricing,Play games,0.45453623512066665
gptoss20b,Cost and Pricing,Collaborate with others,0.575756076064724
gptoss20b,Cost and Pricing,Write notes,0.5710046426973141
gptoss20b,Cost and Pricing,Search for offer on item,0.3894170360099496
gptoss20b,Cost and Pricing,List items for sale,0.6756591814191708
gptoss20b,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.6088644786034726
gptoss20b,Cross-Platform Synchronization,Send files,0.42984055104259616
gptoss20b,Cross-Platform Synchronization,Watch streams,0.8854546472896798
gptoss20b,Cross-Platform Synchronization,Go Live,0.31827673681409874
gptoss20b,Cross-Platform Synchronization,Play playlist on shuffle mode,0.8120712405845104
gptoss20b,Cross-Platform Synchronization,Access to podcasts,0.7294745382946818
gptoss20b,Cross-Platform Synchronization,Build photo collage,0.5740408002564302
gptoss20b,Cross-Platform Synchronization,Photo effects,0.6298356203902226
gptoss20b,Cross-Platform Synchronization,Access to movies,0.8866841087233551
gptoss20b,Cross-Platform Synchronization,Rate movies,0.316216164347885
gptoss20b,Cross-Platform Synchronization,Keeping up with friends,0.5967201794823005
gptoss20b,Cross-Platform Synchronization,Play games,0.3177296177297642
gptoss20b,Cross-Platform Synchronization,Collaborate with others,0.4325484941498804
gptoss20b,Cross-Platform Synchronization,Write notes,0.7612840626335744
gptoss20b,Cross-Platform Synchronization,Search for offer on item,0.4133831527151502
gptoss20b,Cross-Platform Synchronization,List items for sale,0.6522889124560033
gptoss20b,Customer Support,Broadcast messages to multiple contacts,0.5696432369125194
gptoss20b,Customer Support,Send files,0.4162428155913055
gptoss20b,Customer Support,Watch streams,0.4306504667310163
gptoss20b,Customer Support,Go Live,0.33099988643328915
gptoss20b,Customer Support,Play playlist on shuffle mode,0.8159252107045241
gptoss20b,Customer Support,Access to podcasts,0.7083084563305159
gptoss20b,Customer Support,Build photo collage,0.45623702801294524
gptoss20b,Customer Support,Photo effects,0.4425811184724314
gptoss20b,Customer Support,Access to movies,0.8624255825809796
gptoss20b,Customer Support,Rate movies,0.5128041904188803
gptoss20b,Customer Support,Keeping up with friends,0.35991379045757693
gptoss20b,Customer Support,Play games,0.3809810891288095
gptoss20b,Customer Support,Collaborate with others,0.6829147585148643
gptoss20b,Customer Support,Write notes,0.6734974857264742
gptoss20b,Customer Support,Search for offer on item,0.34399823078899194
gptoss20b,Customer Support,List items for sale,0.6338964466731534
gptoss20b,Customization Options,Broadcast messages to multiple contacts,0.6417168165006488
gptoss20b,Customization Options,Send files,0.3666001830966852
gptoss20b,Customization Options,Watch streams,0.2617478979171719
gptoss20b,Customization Options,Go Live,0.1464061888039471
gptoss20b,Customization Options,Play playlist on shuffle mode,0.47900696091351014
gptoss20b,Customization Options,Access to podcasts,0.5959688623388653
gptoss20b,Customization Options,Build photo collage,0.37688444017117995
gptoss20b,Customization Options,Photo effects,0.5370211117284486
gptoss20b,Customization Options,Access to movies,0.43507120269519095
gptoss20b,Customization Options,Rate movies,0.5868029391037279
gptoss20b,Customization Options,Keeping up with friends,0.5569106947974871
gptoss20b,Customization Options,Play games,0.48878438938895175
gptoss20b,Customization Options,Collaborate with others,0.49528909125806386
gptoss20b,Customization Options,Write notes,0.49564305379513973
gptoss20b,Customization Options,Search for offer on item,0.48037942561447783
gptoss20b,Customization Options,List items for sale,0.5001991430257312
gptoss20b,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.6183519083395527
gptoss20b,Feature Breadth and Richness,Send files,0.34148447894039086
gptoss20b,Feature Breadth and Richness,Watch streams,0.6300982832599696
gptoss20b,Feature Breadth and Richness,Go Live,0.37328965520128093
gptoss20b,Feature Breadth and Richness,Play playlist on shuffle mode,0.8207342201013264
gptoss20b,Feature Breadth and Richness,Access to podcasts,0.8439874279527901
gptoss20b,Feature Breadth and Richness,Build photo collage,0.43162262980177857
gptoss20b,Feature Breadth and Richness,Photo effects,0.44950654316757577
gptoss20b,Feature Breadth and Richness,Access to movies,0.875811303949901
gptoss20b,Feature Breadth and Richness,Rate movies,0.7464086188316765
gptoss20b,Feature Breadth and Richness,Keeping up with friends,0.8205949126964723
gptoss20b,Feature Breadth and Richness,Play games,0.335364392156025
gptoss20b,Feature Breadth and Richness,Collaborate with others,0.6735614323920225
gptoss20b,Feature Breadth and Richness,Write notes,0.7076653955276565
gptoss20b,Feature Breadth and Richness,Search for offer on item,0.3982075883620493
gptoss20b,Feature Breadth and Richness,List items for sale,0.6155472061163219
gptoss20b,Integration with Other Services,Broadcast messages to multiple contacts,0.44950989263969543
gptoss20b,Integration with Other Services,Send files,0.42216990139258215
gptoss20b,Integration with Other Services,Watch streams,0.5494315188368609
gptoss20b,Integration with Other Services,Go Live,0.34441614292802847
gptoss20b,Integration with Other Services,Play playlist on shuffle mode,0.9053351511113448
gptoss20b,Integration with Other Services,Access to podcasts,0.8385985233519392
gptoss20b,Integration with Other Services,Build photo collage,0.5571853246733028
gptoss20b,Integration with Other Services,Photo effects,0.4793534739046691
gptoss20b,Integration with Other Services,Access to movies,0.8273373608209793
gptoss20b,Integration with Other Services,Rate movies,0.5874745180131751
gptoss20b,Integration with Other Services,Keeping up with friends,0.6113584015376441
gptoss20b,Integration with Other Services,Play games,0.18523009757533115
gptoss20b,Integration with Other Services,Collaborate with others,0.6464996268892541
gptoss20b,Integration with Other Services,Write notes,0.8496726058518378
gptoss20b,Integration with Other Services,Search for offer on item,0.43969830266067944
gptoss20b,Integration with Other Services,List items for sale,0.698770767589459
gptoss20b,Performance and Stability,Broadcast messages to multiple contacts,0.6525932884842304
gptoss20b,Performance and Stability,Send files,0.6525043685730004
gptoss20b,Performance and Stability,Watch streams,0.7472157273245602
gptoss20b,Performance and Stability,Go Live,0.4188038571144551
gptoss20b,Performance and Stability,Play playlist on shuffle mode,0.8642002282558808
gptoss20b,Performance and Stability,Access to podcasts,0.8026367611440769
gptoss20b,Performance and Stability,Build photo collage,0.37739563971444184
gptoss20b,Performance and Stability,Photo effects,0.5961686112679586
gptoss20b,Performance and Stability,Access to movies,0.8868058284318285
gptoss20b,Performance and Stability,Rate movies,0.6416941304299264
gptoss20b,Performance and Stability,Keeping up with friends,0.7013752438976113
gptoss20b,Performance and Stability,Play games,0.4261503477687841
gptoss20b,Performance and Stability,Collaborate with others,0.6054422275802922
gptoss20b,Performance and Stability,Write notes,0.6961192925531529
gptoss20b,Performance and Stability,Search for offer on item,0.41409928888739733
gptoss20b,Performance and Stability,List items for sale,0.6364776801464894
gptoss20b,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7447461966798703
gptoss20b,Platform and Device Compatibility,Send files,0.3143211655825324
gptoss20b,Platform and Device Compatibility,Watch streams,0.584481884883898
gptoss20b,Platform and Device Compatibility,Go Live,0.401332214367039
gptoss20b,Platform and Device Compatibility,Play playlist on shuffle mode,0.8494844856976375
gptoss20b,Platform and Device Compatibility,Access to podcasts,0.6079586080594874
gptoss20b,Platform and Device Compatibility,Build photo collage,0.421153009551956
gptoss20b,Platform and Device Compatibility,Photo effects,0.415771703358584
gptoss20b,Platform and Device Compatibility,Access to movies,0.8396918934246779
gptoss20b,Platform and Device Compatibility,Rate movies,0.745099452394209
gptoss20b,Platform and Device Compatibility,Keeping up with friends,0.6161616237391679
gptoss20b,Platform and Device Compatibility,Play games,0.6264934753770237
gptoss20b,Platform and Device Compatibility,Collaborate with others,0.5556282810956797
gptoss20b,Platform and Device Compatibility,Write notes,0.5628383914379455
gptoss20b,Platform and Device Compatibility,Search for offer on item,0.34301049297165354
gptoss20b,Platform and Device Compatibility,List items for sale,0.5478224422121153
gptoss20b,Popularity and Market Reach,Broadcast messages to multiple contacts,0.7133129410356579
gptoss20b,Popularity and Market Reach,Send files,0.7024661544065246
gptoss20b,Popularity and Market Reach,Watch streams,0.4645001892875603
gptoss20b,Popularity and Market Reach,Go Live,0.6120126778525522
gptoss20b,Popularity and Market Reach,Play playlist on shuffle mode,0.9003950109070333
gptoss20b,Popularity and Market Reach,Access to podcasts,0.7788614178201683
gptoss20b,Popularity and Market Reach,Build photo collage,0.17911028592704384
gptoss20b,Popularity and Market Reach,Photo effects,0.5919738794557861
gptoss20b,Popularity and Market Reach,Access to movies,0.8619082953476319
gptoss20b,Popularity and Market Reach,Rate movies,0.6976211340842504
gptoss20b,Popularity and Market Reach,Keeping up with friends,0.7584721678315555
gptoss20b,Popularity and Market Reach,Play games,0.6274971478306932
gptoss20b,Popularity and Market Reach,Collaborate with others,0.522770871745993
gptoss20b,Popularity and Market Reach,Write notes,0.8152611520309776
gptoss20b,Popularity and Market Reach,Search for offer on item,0.45270319998077235
gptoss20b,Popularity and Market Reach,List items for sale,0.5809235371372946
gptoss20b,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7244239599475168
gptoss20b,Regional and Geographical Availability,Send files,0.536538473046
gptoss20b,Regional and Geographical Availability,Watch streams,0.8067016521841607
gptoss20b,Regional and Geographical Availability,Go Live,0.4447662921630796
gptoss20b,Regional and Geographical Availability,Play playlist on shuffle mode,0.8663430273678492
gptoss20b,Regional and Geographical Availability,Access to podcasts,0.8078070788933113
gptoss20b,Regional and Geographical Availability,Build photo collage,0.5455265515335159
gptoss20b,Regional and Geographical Availability,Photo effects,0.4333481611495545
gptoss20b,Regional and Geographical Availability,Access to movies,0.7794957455544254
gptoss20b,Regional and Geographical Availability,Rate movies,0.6976149405637084
gptoss20b,Regional and Geographical Availability,Keeping up with friends,0.6100393471861152
gptoss20b,Regional and Geographical Availability,Play games,0.48824821077489433
gptoss20b,Regional and Geographical Availability,Collaborate with others,0.6397956984557959
gptoss20b,Regional and Geographical Availability,Write notes,0.8219830892887648
gptoss20b,Regional and Geographical Availability,Search for offer on item,0.3768141885874664
gptoss20b,Regional and Geographical Availability,List items for sale,0.5260884514070903
gptoss20b,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.6241532082189094
gptoss20b,Regular Updates and Maintenance,Send files,0.47237868873578553
gptoss20b,Regular Updates and Maintenance,Watch streams,0.5317670506919495
gptoss20b,Regular Updates and Maintenance,Go Live,0.44267430074426334
gptoss20b,Regular Updates and Maintenance,Play playlist on shuffle mode,0.8985154329675131
gptoss20b,Regular Updates and Maintenance,Access to podcasts,0.7135495289136856
gptoss20b,Regular Updates and Maintenance,Build photo collage,0.38974990555726874
gptoss20b,Regular Updates and Maintenance,Photo effects,0.49730723893923284
gptoss20b,Regular Updates and Maintenance,Access to movies,0.8859151540724591
gptoss20b,Regular Updates and Maintenance,Rate movies,0.5752210393535301
gptoss20b,Regular Updates and Maintenance,Keeping up with friends,0.5712167588696235
gptoss20b,Regular Updates and Maintenance,Play games,0.5242797685529894
gptoss20b,Regular Updates and Maintenance,Collaborate with others,0.4843506259033668
gptoss20b,Regular Updates and Maintenance,Write notes,0.7088233987420312
gptoss20b,Regular Updates and Maintenance,Search for offer on item,0.4705209649366557
gptoss20b,Regular Updates and Maintenance,List items for sale,0.6066069711265832
gptoss20b,Security and Privacy,Broadcast messages to multiple contacts,0.48387735693419814
gptoss20b,Security and Privacy,Send files,0.6812297097586859
gptoss20b,Security and Privacy,Watch streams,0.7104388320472841
gptoss20b,Security and Privacy,Go Live,0.4574634739896061
gptoss20b,Security and Privacy,Play playlist on shuffle mode,0.36833880882874576
gptoss20b,Security and Privacy,Access to podcasts,0.533409263846025
gptoss20b,Security and Privacy,Build photo collage,0.3266465060508882
gptoss20b,Security and Privacy,Photo effects,0.40831038006911313
gptoss20b,Security and Privacy,Access to movies,0.7574461142149995
gptoss20b,Security and Privacy,Rate movies,0.4465321589661957
gptoss20b,Security and Privacy,Keeping up with friends,0.6945602850896446
gptoss20b,Security and Privacy,Play games,0.07916301847805564
gptoss20b,Security and Privacy,Collaborate with others,0.40105769375186584
gptoss20b,Security and Privacy,Write notes,0.7106617080684843
gptoss20b,Security and Privacy,Search for offer on item,0.3275403981443051
gptoss20b,Security and Privacy,List items for sale,0.575210054627365
gptoss20b,User Engagement,Broadcast messages to multiple contacts,0.7101714343738159
gptoss20b,User Engagement,Send files,0.7009821841101748
gptoss20b,User Engagement,Watch streams,0.38284491372000246
gptoss20b,User Engagement,Go Live,0.46227575584630143
gptoss20b,User Engagement,Play playlist on shuffle mode,0.888529246120372
gptoss20b,User Engagement,Access to podcasts,0.7949490829882518
gptoss20b,User Engagement,Build photo collage,0.6122664601533254
gptoss20b,User Engagement,Photo effects,0.7066648281373055
gptoss20b,User Engagement,Access to movies,0.8732031300472022
gptoss20b,User Engagement,Rate movies,0.7640013837811337
gptoss20b,User Engagement,Keeping up with friends,0.7059035973862955
gptoss20b,User Engagement,Play games,0.5249716237616338
gptoss20b,User Engagement,Collaborate with others,0.7926209782934321
gptoss20b,User Engagement,Write notes,0.7881584374802023
gptoss20b,User Engagement,Search for offer on item,0.28531296589254973
gptoss20b,User Engagement,List items for sale,0.6580667893688285
gptoss20b,User Interface and Experience,Broadcast messages to multiple contacts,0.7451150676695241
gptoss20b,User Interface and Experience,Send files,0.40237215741654675
gptoss20b,User Interface and Experience,Watch streams,0.3688499801841899
gptoss20b,User Interface and Experience,Go Live,0.7260212322160118
gptoss20b,User Interface and Experience,Play playlist on shuffle mode,0.798746464783105
gptoss20b,User Interface and Experience,Access to podcasts,0.7937266411136916
gptoss20b,User Interface and Experience,Build photo collage,0.5539771471595402
gptoss20b,User Interface and Experience,Photo effects,0.49474827146489486
gptoss20b,User Interface and Experience,Access to movies,0.7742249390564633
gptoss20b,User Interface and Experience,Rate movies,0.6739915758835248
gptoss20b,User Interface and Experience,Keeping up with friends,0.6581796775041726
gptoss20b,User Interface and Experience,Play games,0.2640267522602441
gptoss20b,User Interface and Experience,Collaborate with others,0.4789728860761165
gptoss20b,User Interface and Experience,Write notes,0.6903525531835303
gptoss20b,User Interface and Experience,Search for offer on item,0.38315265483826405
gptoss20b,User Interface and Experience,List items for sale,0.6882684925539966
gptoss20b,User Ratings,Broadcast messages to multiple contacts,0.5452956857684976
gptoss20b,User Ratings,Send files,0.31643784849914436
gptoss20b,User Ratings,Watch streams,0.2826539922878093
gptoss20b,User Ratings,Go Live,0.350853798573191
gptoss20b,User Ratings,Play playlist on shuffle mode,0.6335689169571305
gptoss20b,User Ratings,Access to podcasts,0.6051812288512921
gptoss20b,User Ratings,Build photo collage,0.5752632405573008
gptoss20b,User Ratings,Photo effects,0.3451700123915445
gptoss20b,User Ratings,Access to movies,0.809990768906897
gptoss20b,User Ratings,Rate movies,0.5321505764429293
gptoss20b,User Ratings,Keeping up with friends,0.44151011228761095
gptoss20b,User Ratings,Play games,0.3987511148653738
gptoss20b,User Ratings,Collaborate with others,0.4330644727879223
gptoss20b,User Ratings,Write notes,0.5196764024134237
gptoss20b,User Ratings,Search for offer on item,0.4145494023002113
gptoss20b,User Ratings,List items for sale,0.52879861375575
mistral_open,Accessibility Features,Broadcast messages to multiple contacts,0.7139354191299512
mistral_open,Accessibility Features,Send files,0.7247500665914511
mistral_open,Accessibility Features,Watch streams,0.9217932973325407
mistral_open,Accessibility Features,Go Live,0.21019518184985753
mistral_open,Accessibility Features,Play playlist on shuffle mode,0.8918677072741668
mistral_open,Accessibility Features,Access to podcasts,0.580052715692125
mistral_open,Accessibility Features,Build photo collage,0.35971212620123616
mistral_open,Accessibility Features,Photo effects,0.29379716827156527
mistral_open,Accessibility Features,Access to movies,0.9120800289427317
mistral_open,Accessibility Features,Rate movies,0.8648463510275525
mistral_open,Accessibility Features,Keeping up with friends,0.6796525772146723
mistral_open,Accessibility Features,Collaborate with others,0.6120864265640387
mistral_open,Accessibility Features,Write notes,0.6489203453602715
mistral_open,Accessibility Features,Search for offer on item,0.7209634274298793
mistral_open,Accessibility Features,List items for sale,0.6215416800672245
mistral_open,Cost and Pricing,Broadcast messages to multiple contacts,0.43602408840586043
mistral_open,Cost and Pricing,Send files,0.9471184260620703
mistral_open,Cost and Pricing,Watch streams,0.9422121513897721
mistral_open,Cost and Pricing,Go Live,0.2152860547661193
mistral_open,Cost and Pricing,Play playlist on shuffle mode,0.8794509470677326
mistral_open,Cost and Pricing,Access to podcasts,0.8817257575473108
mistral_open,Cost and Pricing,Build photo collage,0.45159257821028476
mistral_open,Cost and Pricing,Photo effects,0.23476767803573675
mistral_open,Cost and Pricing,Rate movies,0.8073491509091092
mistral_open,Cost and Pricing,Keeping up with friends,0.6785855040987561
mistral_open,Cost and Pricing,Play games,0.4156429253920339
mistral_open,Cost and Pricing,Collaborate with others,0.7790551011660708
mistral_open,Cost and Pricing,Write notes,0.7672350152272229
mistral_open,Cost and Pricing,Search for offer on item,0.909894971337529
mistral_open,Cost and Pricing,List items for sale,0.8576951688919277
mistral_open,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.7612701964534039
mistral_open,Cross-Platform Synchronization,Watch streams,0.8803383456701711
mistral_open,Cross-Platform Synchronization,Go Live,0.6358640645227476
mistral_open,Cross-Platform Synchronization,Play playlist on shuffle mode,0.9147243796496545
mistral_open,Cross-Platform Synchronization,Access to podcasts,0.8305249555482653
mistral_open,Cross-Platform Synchronization,Build photo collage,0.5520223134502894
mistral_open,Cross-Platform Synchronization,Photo effects,0.40581441631210974
mistral_open,Cross-Platform Synchronization,Rate movies,0.9326695873670907
mistral_open,Cross-Platform Synchronization,Keeping up with friends,0.6366638060891594
mistral_open,Cross-Platform Synchronization,Play games,0.28528230590332426
mistral_open,Cross-Platform Synchronization,Collaborate with others,0.8101640226583481
